danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.767,0.878,8,-4.581,1,0.0648,0.0249,0.0294,0.147,0.401,125.018,196797,4,Hannah (the sun),57
0.781,0.765,0,-8.228,1,0.221,0.163,0.00112,0.903,0.64,125.197,222250,4,Tate (how i feel),59
0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-5,0.176,0.221,142.113,299613,4,All Of The Lights,75
0.795,0.83,2,-5.358,1,0.0332,0.00102,0.0345,0.0964,0.601,127.008,257056,3,Kiss It Better,54
0.716,0.917,6,-5.091,1,0.0331,0.123,0.396,0.0628,0.751,124.032,160669,4,Welcome To The People,62
0.405,0.808,0,-3.867,0,0.0355,0.18,4.12e-4,0.133,0.32,122.043,232129,4,Define,54
0.542,0.487,1,-9.53,1,0.0286,0.0544,8.85e-4,0.0872,0.119,111.307,216631,4,Her Way,76
0.584,0.596,7,-5.036,0,0.0722,0.0432,4.87e-6,0.0973,0.0427,119.682,228000,4,Painted,30
0.855,0.872,0,-1.261,1,0.324,0.0851,0.0148,0.169,0.306,75.011,183775,4,Death Wish,0
0.663,0.381,5,-9.129,0,0.0346,0.362,3.21e-4,0.131,0.24,120.057,241120,4,Something Tells Me,54
0.463,0.561,10,-6.943,1,0.235,0.469,0,0.157,0.35,85.148,475827,4,Perfect Circle / God Speed,55
0.672,0.868,11,-6.525,0,0.0412,0.00185,0.492,0.244,0.491,126.03,153183,4,Lost,61
0.862,0.484,9,-13.12,0,0.0867,0.0112,0.00433,0.316,0.542,124.928,126720,4,Fake ID (Coke & Rum Remix),66
0.809,0.685,4,-10.194,0,0.0864,0.0842,0.918,0.0641,0.231,123.498,439190,4,Alles,36
0.654,0.776,10,-7.573,0,0.156,0.00727,0.00478,0.206,0.135,122.011,192295,4,Heavy Hearted,48
0.626,0.85,6,-4.601,0,0.0336,0.134,0.00111,0.235,0.335,122.012,178042,4,Streets,14
0.701,0.744,0,-5.718,0,0.031,0.0998,0.00139,0.0927,0.534,125.045,150450,4,Love Is Just a Game,59
0.706,0.824,1,-7.036,1,0.133,0.0547,0.00162,0.0448,0.536,123.965,185133,4,Never Let Me Down,41
0.733,0.693,11,-8.165,1,0.0326,0.0127,0.066,0.089,0.104,126.006,230476,4,Alive,45
0.741,0.744,9,-6.081,1,0.079,0.0133,0.89,0.349,0.696,126.035,204762,4,The Reason,54
0.67,0.833,7,-8.365,1,0.0522,0.132,0.195,0.109,0.522,127.984,205125,4,Live Without Your Love (with Steve Lacy),50
0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,232667,4,Something About Us,66
0.85,0.927,8,-4.265,1,0.0422,1.92e-4,0.00659,0.0683,0.601,128.004,153750,4,A Milli - SIDEPIECE Remix,59
0.683,0.932,8,-10.402,1,0.0513,0.0389,0.605,0.0615,0.553,125.002,235786,4,Drugs From Amsterdam,75
0.363,0.14,7,-15.783,1,0.0333,0.973,4.64e-4,0.136,0.13,114.127,397973,4,Whatever's Written in Your Heart,29
0.497,0.349,7,-14,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627,4,Baker Street,65
0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,256760,4,West Coast,79
0.769,0.654,2,-7.466,0,0.0423,0.156,0.00953,0.243,0.498,119.942,228000,4,Casual Love,33
0.699,0.568,11,-6.431,1,0.0732,0.0964,0,0.0816,0.255,128.125,161065,4,Beats Me Up (feat. Coucheron),33
0.492,0.928,1,-2.952,1,0.0529,0.035,0.492,0.214,0.321,72.498,202552,4,The Devil's Instrument,26
0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,250702,4,Delilah (pull me out of this),69
0.782,0.635,6,-9.382,0,0.122,0.0416,0.317,0.108,0.399,118.074,184715,4,Yasminah (see your face again),52
0.683,0.819,7,-7.825,1,0.0517,0.00826,0.748,0.495,0.127,104.012,199062,4,Sabrina (i am a party),59
